ID	Entrez_Gene_ID	SeqId	SomaId	Target_Name	Target_Full_Name	UniProt_ID	Type	Organism	Entrez_Gene_Name	Ensembl_Gene_ID	HGNC_ID	feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	TSS	gene_start	gene_end	strand	name	symbol	feature_interval_length	attributes	gene_protein_coding	multi_mappers	manual_curation	database
8067-21_Entrez-ID_10008	10008	8067-21	SL008371	KCNE3	Potassium voltage-gated channel subfamily E member 3	Q9Y6H6	Protein	Human	KCNE3	ENSG00000175538	HGNC:6243	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	11	NC_000011.9	74178594	74165886	74178594	-	potassium voltage-gated channel subfamily E regulatory subunit 3	KCNE3	12708		yes	no	no	NCBI
12785-49_Entrez-ID_10009	10009	12785-49	SL009382	KAISO	Transcriptional regulator Kaiso	Q86T24	Protein	Human	ZBTB33	ENSG00000177485	HGNC:16682	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	X	NC_000023.10	119384667	119384667	119392253	+	zinc finger and BTB domain containing 33	ZBTB33	7586		yes	yes	no	NCBI
2643-57_Entrez-ID_1001	1001	2643-57	SL004183	P-Cadherin	Cadherin-3	P22223	Protein	Human	CDH3	ENSG00000062038	HGNC:1762	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	16	NC_000016.9	68679213	68679213	68734195	+	cadherin 3	CDH3	54982		yes	no	no	NCBI
14013-11_Entrez-ID_10010	10010	14013-11	SL015118	TANK	TRAF family member-associated NF-kappa-B activator	Q92844	Protein	Human	TANK	ENSG00000136560	HGNC:11562	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	2	NC_000002.11	161993474	161993474	162092741	+	TRAF family member associated NFKB activator	TANK	99267		yes	no	no	NCBI
18220-141_Entrez-ID_10011	10011	18220-141	SL013277	SRA1	Steroid receptor RNA activator 1	Q9HD15	Protein	Human	SRA1	ENSG00000213523	HGNC:11281	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	5	NC_000005.9	139937678	139929652	139937678	-	steroid receptor RNA activator 1	SRA1	8026		yes	no	no	NCBI
23335-31_Entrez-ID_100128071	100128071	23335-31	SL023778	F229A	Protein FAM229A	H3BQW9	Protein	Human	FAM229A	ENSG00000225828	HGNC:44652	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	1	NC_000001.10	32828086	32826871	32828086	-	family with sequence similarity 229 member A	FAM229A	1215		yes	no	no	NCBI
21804-15_Entrez-ID_100129128	100129128	21804-15	SL022083	KHDCL	Putative KHDC1-like protein	Q5JSQ8	Protein	Human	KHDC1L	ENSG00000256980	HGNC:37274	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	6	NC_000006.11	73935219	73933267	73935219	-	KH domain containing 1 like	KHDC1L	1952		yes	no	no	NCBI
20464-7_Entrez-ID_100129128	100129128	20464-7	SL022083	KHDCL	Putative KHDC1-like protein	Q5JSQ8	Protein	Human	KHDC1L	ENSG00000256980	HGNC:37274	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	6	NC_000006.11	73935219	73933267	73935219	-	KH domain containing 1 like	KHDC1L	1952		yes	no	no	NCBI
23339-46_Entrez-ID_100129654	100129654	23339-46	SL023780	TCF24	Transcription factor 24	Q7RTU0	Protein	Human	TCF24	ENSG00000261787	HGNC:32275	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	8	NC_000008.10	67874826	67858736	67874826	-	transcription factor 24	TCF24	16090		yes	no	no	NCBI
25059-18_Entrez-ID_10013	10013	25059-18	SL023202	HDAC6	Histone deacetylase 6	Q9UBN7	Protein	Human	HDAC6	ENSG00000094631	HGNC:14064	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	X	NC_000023.10	48659805	48659805	48683392	+	histone deacetylase 6	HDAC6	23587		yes	yes	no	NCBI
23519-91_Entrez-ID_100130519	100130519	23519-91	SL023785	TM221	Transmembrane protein 221	A6NGB7	Protein	Human	TMEM221	ENSG00000188051	HGNC:21943	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	19	NC_000019.9	17559477	17546318	17559477	-	transmembrane protein 221	TMEM221	13159		yes	no	no	NCBI
24412-1_Entrez-ID_100130958	100130958	24412-1	SL023740	SYC1L	Synaptonemal complex central element protein 1-like	A8MT33	Protein	Human	SYCE1L	ENSG00000205078	HGNC:37236	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	16	NC_000016.9	77233305	77233305	77247112	+	synaptonemal complex central element protein 1 like	SYCE1L	13807		yes	no	no	NCBI
19277-4_Entrez-ID_100131187	100131187	19277-4	SL013211	KAT	Thiosulfate sulfurtransferase/rhodanese-like domain-containing protein 1	Q8NFU3	Protein	Human	TSTD1	ENSG00000215845	HGNC:35410	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	1	NC_000001.10	161008754	161007421	161008754	-	thiosulfate sulfurtransferase like domain containing 1	TSTD1	1333		yes	no	no	NCBI
23424-4_Entrez-ID_100131244	100131244	23424-4	SL023786	ANR63	Ankyrin repeat domain-containing protein 63	C9JTQ0	Protein	Human	ANKRD63	ENSG00000230778	HGNC:40027	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	15	NC_000015.9	40575265	40570573	40575265	-	ankyrin repeat domain 63	ANKRD63	4692		yes	no	no	NCBI
8888-33_Entrez-ID_100132963	100132963	8888-33	SL018720	CX068	Small integral membrane protein 9	A6NGZ8	Protein	Human	SMIM9	ENSG00000203870	HGNC:41915	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	X	NC_000023.10	154062937	154051623	154062937	-	small integral membrane protein 9	SMIM9	11314		yes	yes	no	NCBI
20443-37_Entrez-ID_100134934	100134934	20443-37	SL022254	TEN1L	CST complex subunit TEN1	Q86WV5	Protein	Human	TEN1	ENSG00000257949	HGNC:37242	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	17	NC_000017.10	73975321	73975321	73996667	+	TEN1 subunit of CST complex	TEN1	21346		yes	no	no	NCBI
6633-43_Entrez-ID_100134938	100134938	6633-43	SL017508	UPK3L	Uroplakin-3b-like protein	B0FP48	Protein	Human	UPK3BL1	ENSG00000267368	HGNC:37278	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	7	NC_000007.13	102283238	102277472	102283238	-	uroplakin 3B like 1	UPK3BL1	5766		yes	no	no	NCBI
18174-79_Entrez-ID_10015	10015	18174-79	SL008888	PDC6I	Programmed cell death 6-interacting protein	Q8WUM4	Protein	Human	PDCD6IP	ENSG00000170248	HGNC:8766	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	3	NC_000003.11	33840122	33840122	33911195	+	programmed cell death 6 interacting protein	PDCD6IP	71073		yes	no	no	NCBI
19488-1_Entrez-ID_10016	10016	19488-1	SL007980	PDCD6	Programmed cell death protein 6	O75340	Protein	Human	PDCD6	ENSG00000249915	HGNC:8765	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	5	NC_000005.9	271761	271761	315089	+	programmed cell death 6	PDCD6	43328		yes	no	no	NCBI
7249-37_Entrez-ID_10017	10017	7249-37	SL007682	B2L10	Bcl-2-like protein 10	Q9HD36	Protein	Human	BCL2L10	ENSG00000137875	HGNC:993	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	15	NC_000015.9	52404972	52401460	52404972	-	BCL2 like 10	BCL2L10	3512		yes	no	no	NCBI
7249-307_Entrez-ID_10017	10017	7249-307	SL007682	B2L10	Bcl-2-like protein 10	Q9HD36	Protein	Human	BCL2L10	ENSG00000137875	HGNC:993	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	15	NC_000015.9	52404972	52401460	52404972	-	BCL2 like 10	BCL2L10	3512		yes	no	no	NCBI
17451-13_Entrez-ID_10018	10018	17451-13	SL003706	BIM	Bcl-2-like protein 11	O43521	Protein	Human	BCL2L11	ENSG00000153094	HGNC:994	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	2	NC_000002.11	111878491	111878491	111926022	+	BCL2 like 11	BCL2L11	47531		yes	no	no	NCBI
22019-21_Entrez-ID_10019	10019	22019-21	SL022542	SH2B3	SH2B adapter protein 3	Q9UQQ2	Protein	Human	SH2B3	ENSG00000111252	HGNC:29605	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	12	NC_000012.11	111843727	111843727	111889427	+	SH2B adaptor protein 3	SH2B3	45700		yes	no	no	NCBI
21739-7_Entrez-ID_10020	10020	21739-7	SL022692	GLCNE	Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase	Q9Y223	Protein	Human	GNE	ENSG00000159921	HGNC:23657	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	9	NC_000009.11	36276975	36214438	36276975	-	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase	GNE	62537		yes	no	no	NCBI
10462-14_Entrez-ID_10022	10022	10462-14	SL012880	INSL5	Insulin-like peptide INSL5	Q9Y5Q6	Protein	Human	INSL5	ENSG00000172410	HGNC:6088	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	1	NC_000001.10	67266959	67263423	67266959	-	insulin like 5	INSL5	3536		yes	no	no	NCBI
21133-33_Entrez-ID_100272147	100272147	21133-33	SL021986	CMC4	Cx9C motif-containing protein 4	P56277	Protein	Human	CMC4	ENSG00000182712	HGNC:35428	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	X	NC_000023.10	154299411	154289897	154299411	-	C-X9-C motif containing 4	CMC4	9514		yes	yes	no	NCBI
9578-263_Entrez-ID_100287284	100287284	9578-263	SL019041	MANS4	MANSC domain-containing protein 4	A6NHS7	Protein	Human	MANSC4	ENSG00000205693	HGNC:40023	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	12	NC_000012.11	27933169	27915360	27933169	-	MANSC domain containing 4	MANSC4	17809		yes	no	no	NCBI
22809-32_Entrez-ID_100287932	100287932	22809-32	SL022933	TIM23	Mitochondrial import inner membrane translocase subunit Tim23	O14925	Protein	Human	TIMM23	ENSG00000265354	HGNC:17312	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	10	NC_000010.10	51623350	51592080	51623350	-	translocase of inner mitochondrial membrane 23	TIMM23	31270		yes	yes	no	NCBI
24479-25_Entrez-ID_100289187	100289187	24479-25	SL023784	T225B	Transmembrane protein 225B	P0DP42	Protein	Human	TMEM225B	ENSG00000244219	HGNC:53075	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	7	NC_000007.13	99195890	99195890	99208668	+	transmembrane protein 225B	TMEM225B	12778		yes	no	no	NCBI
2819-23_Entrez-ID_1003	1003	2819-23	SL002081	Cadherin-5	Cadherin-5	P33151	Protein	Human	CDH5	ENSG00000179776	HGNC:1764	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	16	NC_000016.9	66400594	66400594	66438687	+	cadherin 5	CDH5	38093		yes	no	no	NCBI
17696-1_Entrez-ID_100302736	100302736	17696-1	SL004508	TIRP	TIR domain-containing adapter molecule 2	Q86XR7	Protein	Human	TICAM2	ENSG00000243414	HGNC:21354	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	5	NC_000005.9	114961733	114914193	114961733	-	TMED7-TICAM2 readthrough	TMED7-TICAM2	47540		yes	no	no	NCBI
19303-64_Entrez-ID_100303755	100303755	19303-64	SL020942	PT117	Protein PET117 homolog, mitochondrial	Q6UWS5	Protein	Human	PET117	ENSG00000232838	HGNC:40045	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	20	NC_000020.10	18118507	18118507	18123813	+	PET117 cytochrome c oxidase chaperone	PET117	5306		yes	no	no	NCBI
16312-45_Entrez-ID_1004	1004	16312-45	SL004865	Cadherin-6	Cadherin-6	P55285	Protein	Human	CDH6	ENSG00000113361	HGNC:1765	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	5	NC_000005.9	31193793	31193793	31329253	+	cadherin 6	CDH6	135460		yes	no	no	NCBI
3591-51_Entrez-ID_1004	1004	3591-51	SL004865	Cadherin-6	Cadherin-6	P55285	Protein	Human	CDH6	ENSG00000113361	HGNC:1765	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	5	NC_000005.9	31193793	31193793	31329253	+	cadherin 6	CDH6	135460		yes	no	no	NCBI
13652-2_Entrez-ID_10040	10040	13652-2	SL020197	TM1L1	TOM1-like protein 1	O75674	Protein	Human	TOM1L1	ENSG00000141198	HGNC:11983	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	17	NC_000017.10	52978213	52978213	53039317	+	target of myb1 like 1 membrane trafficking protein	TOM1L1	61104		yes	no	no	NCBI
25492-7_Entrez-ID_10043	10043	25492-7	SL019565	TOM1	Target of Myb protein 1	O60784	Protein	Human	TOM1	ENSG00000100284	HGNC:11982	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	22	NC_000022.10	35695268	35695268	35743966	+	target of myb1 membrane trafficking protein	TOM1	48698		yes	no	no	NCBI
12704-26_Entrez-ID_10044	10044	12704-26	SL009388	SH2D3	SH2 domain-containing protein 3C	Q8N5H7	Protein	Human	SH2D3C	ENSG00000095370	HGNC:16884	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	9	NC_000009.11	130540945	130500596	130540945	-	SH2 domain containing 3C	SH2D3C	40349		yes	no	no	NCBI
10572-65_Entrez-ID_10047	10047	10572-65	SL012372	CST8	Cystatin-8	O60676	Protein	Human	CST8	ENSG00000125815	HGNC:2480	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	20	NC_000020.10	23471754	23471754	23476647	+	cystatin 8	CST8	4893		yes	no	no	NCBI
11606-22_Entrez-ID_10049	10049	11606-22	SL019538	DNJB6	DnaJ homolog subfamily B member 6	O75190	Protein	Human	DNAJB6	ENSG00000105993	HGNC:14888	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	7	NC_000007.13	157129698	157129698	157210133	+	DnaJ heat shock protein family (Hsp40) member B6	DNAJB6	80435		yes	no	no	NCBI
7959-34_Entrez-ID_1005	1005	7959-34	SL007764	CADH7	Cadherin-7	Q9ULB5	Protein	Human	CDH7	ENSG00000081138	HGNC:1766	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	18	NC_000018.9	63417488	63417488	63557573	+	cadherin 7	CDH7	140085		yes	no	no	NCBI
23522-1_Entrez-ID_100507096	100507096	23522-1	SL023782	GIMD1	GTPase IMAP family member GIMD1	P0DJR0	Protein	Human	GIMD1	ENSG00000250298	HGNC:44141	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	4	NC_000004.11	107289935	107278549	107289935	-	GIMAP family P-loop NTPase domain containing 1	GIMD1	11386		yes	no	no	NCBI
16620-26_Entrez-ID_100526664	100526664	16620-26	SL007021	LY75	Lymphocyte antigen 75	O60449	Protein	Human	LY75	NA	HGNC:6729	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	2	NC_000002.11	160761267	160625139	160761267	-	LY75-CD302 readthrough	LY75-CD302	136128		yes	no	no	NCBI
15641-20_Entrez-ID_100526694	100526694	15641-20	SL020463	TEFF1	Tomoregulin-1	Q8IYR6	Protein	Human	TMEFF1	ENSG00000241697	HGNC:11866	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	9	NC_000009.11	103204188	103204188	103339918	+	MSANTD3-TMEFF1 readthrough	MSANTD3-TMEFF1	135730		yes	no	no	NCBI
12508-9_Entrez-ID_100526767	100526767	12508-9	SL008756	CHMP3	Charged multivesicular body protein 3	Q9Y3E7	Protein	Human	CHMP3	ENSG00000115561	HGNC:29865	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	2	NC_000002.11	86948245	86730553	86948245	-	RNF103-CHMP3 readthrough	RNF103-CHMP3	217692		yes	no	no	NCBI
23306-37_Entrez-ID_100527963	100527963	23306-37	SL023522	PMF1	Polyamine-modulated factor 1	Q6P1K2	Protein	Human	PMF1	ENSG00000160783	HGNC:9112	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	1	NC_000001.10	156182779	156182779	156213123	+	PMF1-BGLAP readthrough	PMF1-BGLAP	30344		yes	no	no	NCBI
21722-21_Entrez-ID_100528030	100528030	21722-21	SL015072	GALT4	Polypeptide N-acetylgalactosaminyltransferase 4	Q8N4A0	Protein	Human	GALNT4	ENSG00000257594	HGNC:4126	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	12	NC_000012.11	89920039	89913189	89920039	-	POC1B-GALNT4 readthrough	POC1B-GALNT4	6850		yes	no	no	NCBI
14095-1_Entrez-ID_100528032	100528032	14095-1	SL005204	NKG2D	NKG2-D type II integral membrane protein	P26718	Protein	Human	KLRK1	ENSG00000213809	HGNC:18788	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	12	NC_000012.11	10562745	10524952	10562745	-	KLRC4-KLRK1 readthrough	KLRC4-KLRK1	37793		yes	no	no	NCBI
3056-11_Entrez-ID_100528032	100528032	3056-11	SL005204	NKG2D	NKG2-D type II integral membrane protein	P26718	Protein	Human	KLRK1	ENSG00000213809	HGNC:18788	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	12	NC_000012.11	10562745	10524952	10562745	-	KLRC4-KLRK1 readthrough	KLRC4-KLRK1	37793		yes	no	no	NCBI
22085-86_Entrez-ID_100532731	100532731	22085-86	SL004776	BMI-1	Polycomb complex protein BMI-1	P35226	Protein	Human	BMI1	ENSG00000168283	HGNC:1066	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	10	NC_000010.10	22605317	22605317	22620413	+	COMMD3-BMI1 readthrough	COMMD3-BMI1	15096		yes	no	no	NCBI
2944-66_Entrez-ID_100532736	100532736	2944-66	SL005156	DAN	Neuroblastoma suppressor of tumorigenicity 1	P41271	Protein	Human	NBL1	ENSG00000158747	HGNC:7650	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	1	NC_000001.10	19923473	19923473	19984945	+	MICOS10-NBL1 readthrough	MICOS10-NBL1	61472		yes	no	no	NCBI
10042-8_Entrez-ID_100533105	100533105	10042-8	SL015131	SGK3	Serine/threonine-protein kinase Sgk3	Q96BR1	Protein	Human	SGK3	ENSG00000104205	HGNC:10812	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	8	NC_000008.10	67579831	67579831	67774257	+	C8orf44-SGK3 readthrough	C8orf44-SGK3	194426		yes	no	no	NCBI
18192-69_Entrez-ID_100533997	100533997	18192-69	SL011948	MAGE-5	Melanoma-associated antigen 5	P43359	Protein	Human	MAGEA5	NA	HGNC:6803	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	X	NC_000023.10	151307049	151282521	151307049	-	MAGEA10-MAGEA5 readthrough	LOC100533997	24528		yes	no	no	NCBI
21452-3_Entrez-ID_10059	10059	21452-3	SL011156	DNM1L	Dynamin-1-like protein	O00429	Protein	Human	DNM1L	ENSG00000087470	HGNC:2973	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	12	NC_000012.11	32832235	32832235	32898584	+	dynamin 1 like	DNM1L	66349		yes	no	no	NCBI
16021-30_Entrez-ID_1006	1006	16021-30	SL006909	Cadherin-8	Cadherin-8	P55286	Protein	Human	CDH8	ENSG00000150394	HGNC:1767	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	16	NC_000016.9	62070342	61681154	62070342	-	cadherin 8	CDH8	389188		yes	no	no	NCBI
22378-2_HGNC-ID_HGNC:6452	100653049	22378-2	SL006625	Keratin 34	Keratin 34	O76011	Protein	Human	KRT34	ENSG00000131737	HGNC:6452	gene	protein_coding	NA	NA	NA	17	NA	39538655	39533902	39538655	-	NA	NA	4753	NA	yes	NA	no	biomart
3073-51_Entrez-ID_10068	10068	3073-51	SL002508	IL-18 BPa	Interleukin-18-binding protein	O95998	Protein	Human	IL18BP	ENSG00000137496	HGNC:5987	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	11	NC_000011.9	71709955	71709955	71713965	+	interleukin 18 binding protein	IL18BP	4010		yes	no	no	NCBI
17765-3_Entrez-ID_10073	10073	17765-3	SL020983	SPN1	Snurportin-1	O95149	Protein	Human	SNUPN	ENSG00000169371	HGNC:14245	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	15	NC_000015.9	75918802	75890427	75918802	-	snurportin 1	SNUPN	28375		yes	no	no	NCBI
8337-65_Entrez-ID_10076	10076	8337-65	SL018463	PTPRU	Receptor-type tyrosine-protein phosphatase U	Q92729	Protein	Human	PTPRU	ENSG00000060656	HGNC:9683	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	1	NC_000001.10	29563034	29563034	29653312	+	protein tyrosine phosphatase receptor type U	PTPRU	90278		yes	no	no	NCBI
18181-2_Entrez-ID_10078	10078	18181-2	SL021024	TSSC4	Protein TSSC4	Q9Y5U2	Protein	Human	TSSC4	ENSG00000184281	HGNC:12386	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	11	NC_000011.9	2421980	2421980	2425106	+	tumor suppressing subtransferable candidate 4	TSSC4	3126		yes	no	no	NCBI
20529-7_Entrez-ID_1008	1008	20529-7	SL007799	CAD10	Cadherin-10	Q9Y6N8	Protein	Human	CDH10	ENSG00000040731	HGNC:1749	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	5	NC_000005.9	24645087	24487209	24645087	-	cadherin 10	CDH10	157878		yes	no	no	NCBI
5350-14_Entrez-ID_10082	10082	5350-14	SL012881	GPC6	Glypican-6	Q9Y625	Protein	Human	GPC6	ENSG00000183098	HGNC:4454	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	13	NC_000013.10	93879060	93879060	95060274	+	glypican 6	GPC6	1181214		yes	no	no	NCBI
13924-13_Entrez-ID_100820829	100820829	13924-13	SL018834	MYZAP	Myocardial zonula adherens protein	P0CAP1	Protein	Human	MYZAP	ENSG00000263155	HGNC:43444	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	15	NC_000015.9	57884102	57884102	57977562	+	myocardial zonula adherens protein	MYZAP	93460		yes	no	no	NCBI
9055-81_Entrez-ID_100820829	100820829	9055-81	SL018834	MYZAP	Myocardial zonula adherens protein	P0CAP1	Protein	Human	MYZAP	ENSG00000263155	HGNC:43444	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	15	NC_000015.9	57884102	57884102	57977562	+	myocardial zonula adherens protein	MYZAP	93460		yes	no	no	NCBI
9964-10_Entrez-ID_100820829	100820829	9964-10	SL018834	MYZAP	Myocardial zonula adherens protein	P0CAP1	Protein	Human	MYZAP	ENSG00000263155	HGNC:43444	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	15	NC_000015.9	57884102	57884102	57977562	+	myocardial zonula adherens protein	MYZAP	93460		yes	no	no	NCBI
17725-37_Entrez-ID_10083	10083	17725-37	SL013885	USH1C	Harmonin	Q9Y6N9	Protein	Human	USH1C	ENSG00000006611	HGNC:12597	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	11	NC_000011.9	17565963	17515447	17565963	-	USH1 protein network component harmonin	USH1C	50516		yes	no	no	NCBI
9360-33_Entrez-ID_10085	10085	9360-33	SL012367	EDIL3	EGF-like repeat and discoidin I-like domain-containing protein 3	O43854	Protein	Human	EDIL3	ENSG00000164176	HGNC:3173	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	5	NC_000005.9	83680698	83236373	83680698	-	EGF like repeats and discoidin domains 3	EDIL3	444325		yes	no	no	NCBI
